seed;lambda;k;value;exec_time;;
210;1,00E-04;5;14023,48;14466;;13328,57
210;1,00E-04;25;14111,1;11730;;
210;1,00E-04;50;14024,77;13938;;
210;1,00E-04;75;13999,68;12453;;
210;1,00E-04;100;14045,54;12832;;
210;1,00E-04;125;13973,51;12958;;
210;1,00E-04;150;13992,77;13249;;
210;1,00E-04;175;14003,17;13253;;
210;1,00E-04;200;14025,21;13559;;
370;1,00E-04;5;13828,03;12434;;
370;1,00E-04;25;13791,86;13758;;
370;1,00E-04;50;13845,52;10922;;
370;1,00E-04;75;13876,36;11885;;
370;1,00E-04;100;13852,56;13048;;
370;1,00E-04;125;13842,19;11380;;
370;1,00E-04;150;13826,62;12052;;
370;1,00E-04;175;13815,99;14281;;
370;1,00E-04;200;13884,89;13400;;
19;1,00E-04;5;13489,18;12269;;
19;1,00E-04;25;13468;10995;;
19;1,00E-04;50;13438,31;12553;;
19;1,00E-04;75;13450,17;12708;;
19;1,00E-04;100;13395,66;11378;;
19;1,00E-04;125;13399,37;12470;;
19;1,00E-04;150;13446,5;11563;;
19;1,00E-04;175;13414,3;13543;;
19;1,00E-04;200;13447,2;11094;;
177;1,00E-04;5;13353,24;10419;;
177;1,00E-04;25;13368,58;11710;;
177;1,00E-04;50;13328,57;10706;;
177;1,00E-04;75;13371,69;10917;;
177;1,00E-04;100;13334,88;11869;;
177;1,00E-04;125;13415,87;10943;;
177;1,00E-04;150;13376,9;13516;;
177;1,00E-04;175;13335,67;11677;;
177;1,00E-04;200;13370,27;13716;;
95;1,00E-04;5;13429,34;10437;;
95;1,00E-04;25;13393,24;10679;;
95;1,00E-04;50;13404,92;10872;;
95;1,00E-04;75;13385,54;11815;;
95;1,00E-04;100;13354,18;11152;;
95;1,00E-04;125;13431,31;11862;;
95;1,00E-04;150;13363,73;12943;;
95;1,00E-04;175;13405,51;12299;;
95;1,00E-04;200;13408,76;12974;;
