seed nCentros nGrupos steps costSA exec_timeSA
9 35 700 1000 35635.07 641
9 35 700 100000 14886.24 11334.0
9 35 700 500000 14129.15 14572.0
9 35 700 1000000 14117.95 23094.0
9 35 700 2000000 14065.82 43601.0
95 35 700 1000 30255.95 472
95 35 700 100000 14119.14 3432.0
95 35 700 500000 13352.41 11601.0
95 35 700 1000000 13331.98 23370.0
95 35 700 2000000 13327.33 43554.0
114 35 700 1000 35041.98 491
114 35 700 100000 14239.22 3953.0
114 35 700 500000 13632.9 12044.0
114 35 700 1000000 13588.71 22254.0
114 35 700 2000000 13580.12 42505.0
369 35 700 1000 34435.48 506
369 35 700 100000 14647.54 4759.0
369 35 700 500000 13982.64 13171.0
369 35 700 1000000 13969.53 22825.0
369 35 700 2000000 13916.69 44142.0
356 35 700 1000 31924.8 571
356 35 700 100000 14426.81 3811.0
356 35 700 500000 13629.23 12489.0
356 35 700 1000000 13607.98 22533.0
356 35 700 2000000 13571.88 43735.0
