seed nCentros nGrupos steps costSA exec_timeSA
352 5 100 1000 3645.71 143.0
352 10 200 1000 7635.35 83.0
352 15 300 1000 12172.62 116.0
352 20 400 1000 16637.82 137.0
352 25 500 1000 21421.57 182.0
352 30 600 1000 26501.24 251.0
352 35 700 1000 31270.83 381.0
352 5 100 5000 2936.73 180.0
352 10 200 5000 5966.04 155.0
352 15 300 5000 9104.74 199.0
352 20 400 5000 13047.02 298.0
352 25 500 5000 16647.17 335.0
352 30 600 5000 20642.93 446.0
352 35 700 5000 24458.45 391.0
352 5 100 10000 2834.18 67.0
352 10 200 10000 5047.88 87.0
352 15 300 10000 7786.01 135.0
352 20 400 10000 11453.89 184.0
352 25 500 10000 14579.02 246.0
352 30 600 10000 18296.59 417.0
352 35 700 10000 21570.54 359.0
352 5 100 30000 2875.43 140.0
352 10 200 30000 4530.81 248.0
352 15 300 30000 6727.94 322.0
352 20 400 30000 9286.97 474.0
352 25 500 30000 11734.53 559.0
352 30 600 30000 14365.89 965.0
352 35 700 30000 17310.05 795.0
352 5 100 60000 2867.22 307.0
352 10 200 60000 4415.92 454.0
352 15 300 60000 6519.89 739.0
352 20 400 60000 8611.1 866.0
352 25 500 60000 10733.25 1243.0
352 30 600 60000 13036.54 1545.0
352 35 700 60000 15268.08 1771.0
352 5 100 120000 2841.29 615.0
352 10 200 120000 4432.85 915.0
352 15 300 120000 6395.02 1240.0
352 20 400 120000 8410.02 1651.0
352 25 500 120000 10320.64 2335.0
352 30 600 120000 12337.37 2909.0
352 35 700 120000 14348.99 2888.0
352 5 100 500000 2836.23 920.0
352 10 200 500000 4423.09 1236.0
352 15 300 500000 6382.32 1575.0
352 20 400 500000 8385.36 2233.0
352 25 500 500000 10250.41 2533.0
352 30 600 500000 12194.94 3657.0
352 35 700 500000 14117.77 3556.0
352 5 100 1000000 2841.12 740.0
352 10 200 1000000 4418.67 1163.0
352 15 300 1000000 6372.62 1716.0
352 20 400 1000000 8357.73 2145.0
352 25 500 1000000 10153.27 2836.0
352 30 600 1000000 12245.46 3700.0
352 35 700 1000000 14124.39 3518.0
352 5 100 2000000 2868.41 738.0
352 10 200 2000000 4389.0 1187.0
352 15 300 2000000 6390.47 1824.0
352 20 400 2000000 8342.91 2316.0
352 25 500 2000000 10184.86 2784.0
352 30 600 2000000 12207.86 3460.0
352 35 700 2000000 14125.2 3317.0
366 5 100 1000 3177.09 7.0
366 10 200 1000 7124.99 19.0
366 15 300 1000 11380.33 37.0
366 20 400 1000 15647.9 61.0
366 25 500 1000 20276.9 91.0
366 30 600 1000 24925.05 128.0
366 35 700 1000 30465.56 174.0
366 5 100 5000 2500.03 24.0
366 10 200 5000 5613.6 45.0
366 15 300 5000 8617.67 72.0
366 20 400 5000 12048.24 117.0
366 25 500 5000 15451.98 148.0
366 30 600 5000 19366.82 195.0
366 35 700 5000 23265.52 249.0
366 5 100 10000 2390.74 46.0
366 10 200 10000 4859.07 86.0
366 15 300 10000 7467.7 118.0
366 20 400 10000 10419.97 165.0
366 25 500 10000 13551.19 217.0
366 30 600 10000 17020.98 300.0
366 35 700 10000 20142.86 344.0
366 5 100 30000 2340.91 140.0
366 10 200 30000 4337.49 217.0
366 15 300 30000 6380.71 317.0
366 20 400 30000 8848.17 401.0
366 25 500 30000 11221.22 517.0
366 30 600 30000 13941.03 628.0
366 35 700 30000 16382.7 810.0
366 5 100 60000 2338.44 273.0
366 10 200 60000 4316.66 438.0
366 15 300 60000 6188.32 598.0
366 20 400 60000 8385.68 802.0
366 25 500 60000 10408.76 1006.0
366 30 600 60000 12717.77 1195.0
366 35 700 60000 14914.69 1422.0
366 5 100 120000 2342.25 542.0
366 10 200 120000 4298.96 863.0
366 15 300 120000 6121.76 1186.0
366 20 400 120000 8164.41 1694.0
366 25 500 120000 10002.6 1915.0
366 30 600 120000 12106.91 2291.0
366 35 700 120000 14244.72 3002.0
366 5 100 500000 2352.99 699.0
366 10 200 500000 4287.41 1084.0
366 15 300 500000 6113.83 1522.0
366 20 400 500000 8168.37 1968.0
366 25 500 500000 9969.43 2624.0
366 30 600 500000 12045.59 3119.0
366 35 700 500000 14083.97 4186.0
366 5 100 1000000 2347.96 843.0
366 10 200 1000000 4304.68 1204.0
366 15 300 1000000 6025.21 1719.0
366 20 400 1000000 8117.54 2219.0
366 25 500 1000000 9934.61 2405.0
366 30 600 1000000 12095.29 3142.0
366 35 700 1000000 14079.58 3746.0
366 5 100 2000000 2354.15 887.0
366 10 200 2000000 4288.99 1437.0
366 15 300 2000000 6111.91 1641.0
366 20 400 2000000 8119.75 2244.0
366 25 500 2000000 9960.06 3304.0
366 30 600 2000000 12045.9 3254.0
366 35 700 2000000 14017.96 3440.0
289 5 100 1000 3297.18 8.0
289 10 200 1000 7642.43 19.0
289 15 300 1000 11810.96 39.0
289 20 400 1000 16187.41 64.0
289 25 500 1000 21841.59 96.0
289 30 600 1000 26753.04 134.0
289 35 700 1000 32401.18 179.0
289 5 100 5000 2781.94 25.0
289 10 200 5000 5749.65 46.0
289 15 300 5000 8847.09 75.0
289 20 400 5000 12836.3 120.0
289 25 500 5000 16769.07 153.0
289 30 600 5000 20270.09 201.0
289 35 700 5000 24785.08 257.0
289 5 100 10000 2730.71 45.0
289 10 200 10000 5112.14 90.0
289 15 300 10000 7855.81 123.0
289 20 400 10000 10993.12 171.0
289 25 500 10000 14447.04 232.0
289 30 600 10000 18229.44 301.0
289 35 700 10000 22140.78 348.0
289 5 100 30000 2652.64 134.0
289 10 200 30000 4673.34 240.0
289 15 300 30000 6902.14 326.0
289 20 400 30000 9059.43 432.0
289 25 500 30000 11730.29 550.0
289 30 600 30000 14207.71 802.0
289 35 700 30000 17342.3 1013.0
289 5 100 60000 2647.3 356.0
289 10 200 60000 4489.32 607.0
289 15 300 60000 6530.67 813.0
289 20 400 60000 8535.79 1011.0
289 25 500 60000 10702.77 1268.0
289 30 600 60000 12825.29 1274.0
289 35 700 60000 15292.09 1559.0
289 5 100 120000 2670.88 521.0
289 10 200 120000 4475.01 981.0
289 15 300 120000 6411.36 2029.0
289 20 400 120000 8215.17 1844.0
289 25 500 120000 10225.47 2291.0
289 30 600 120000 12215.3 2378.0
289 35 700 120000 14342.79 3109.0
289 5 100 500000 2669.73 656.0
289 10 200 500000 4468.35 1105.0
289 15 300 500000 6392.95 1509.0
289 20 400 500000 8198.6 1940.0
289 25 500 500000 10097.01 2383.0
289 30 600 500000 12010.28 2828.0
289 35 700 500000 14228.32 3713.0
289 5 100 1000000 2661.55 658.0
289 10 200 1000000 4517.05 1066.0
289 15 300 1000000 6403.13 1544.0
289 20 400 1000000 8218.79 1960.0
289 25 500 1000000 10147.25 2389.0
289 30 600 1000000 12080.15 2802.0
289 35 700 1000000 14256.65 3263.0
289 5 100 2000000 2646.68 655.0
289 10 200 2000000 4481.21 1077.0
289 15 300 2000000 6391.9 1508.0
289 20 400 2000000 8220.91 1943.0
289 25 500 2000000 10232.87 2711.0
289 30 600 2000000 12093.85 2880.0
289 35 700 2000000 14296.7 3872.0
240 5 100 1000 3237.75 9.0
240 10 200 1000 7876.53 23.0
240 15 300 1000 13086.08 44.0
240 20 400 1000 18114.91 83.0
240 25 500 1000 23625.27 114.0
