seed stiter value exec_time
214 50 13781.6 14514.0
214 100 13820.87 11330.0
214 125 13808.77 11540.0
214 200 13813.26 11864.0
214 250 13761.03 12020.0
214 500 13818.76 11047.0
214 800 13822.37 11324.0
214 1000 13763.23 12212.0
214 1500 13777.87 11018.0
329 50 13547.27 11252.0
329 100 13489.15 10555.0
329 125 13561.03 11104.0
329 200 13541.18 10543.0
329 250 13507.25 11156.0
329 500 13526.51 10475.0
329 800 13530.45 11051.0
329 1000 13493.87 10608.0
329 1500 13523.72 11079.0
281 50 13668.54 10500.0
281 100 13649.56 11281.0
281 125 13653.62 10613.0
281 200 13621.32 10601.0
281 250 13667.07 10748.0
281 500 13620.92 10370.0
281 800 13679.12 10465.0
281 1000 13625.71 10570.0
281 1500 13639.08 10508.0
66 50 13918.29 11372.0
66 100 13942.35 10584.0
66 125 13876.9 10698.0
66 200 13844.08 11453.0
66 250 13879.98 10654.0
66 500 13865.2 10558.0
66 800 13831.75 11409.0
66 1000 13905.86 10672.0
66 1500 13876.55 10701.0
327 50 13923.07 11339.0
327 100 13872.73 10722.0
327 125 13894.71 10612.0
327 200 13938.33 10663.0
327 250 13886.31 10882.0
327 500 13877.75 10642.0
327 800 13875.59 10497.0
327 1000 13890.91 11283.0
327 1500 13870.77 10637.0
