seed steps value exec_time
261 100 3543.0 25.0
261 500 2915.75 46.0
261 800 2757.31 67.0
261 1000 2688.06 43.0
261 1200 2636.65 70.0
261 1500 2581.91 39.0
261 1700 2456.68 49.0
261 2000 2427.55 49.0
261 2200 2465.35 48.0
261 2500 2355.3 86.0
261 2700 2348.37 77.0
261 3000 2303.81 111.0
261 3200 2298.03 93.0
261 3500 2286.57 150.0
261 3700 2287.56 118.0
261 4000 2275.82 117.0
261 4500 2207.77 136.0
261 5000 2254.39 142.0
261 6000 2256.46 63.0
261 7000 2232.41 36.0
261 8000 2222.87 39.0
261 9000 2196.31 63.0
261 10000 2196.26 58.0
261 12000 2206.9 60.0
261 15000 2184.03 78.0
261 20000 2175.96 104.0
261 25000 2165.74 171.0
261 50000 2146.49 256.0
261 100000 2157.67 595.0
97 100 3655.04 1.0
97 500 3037.11 2.0
97 800 2925.33 3.0
97 1000 2823.88 4.0
97 1200 2754.19 6.0
97 1500 2712.11 6.0
97 1700 2762.1 10.0
97 2000 2618.05 10.0
97 2200 2650.14 10.0
97 2500 2516.1 11.0
97 2700 2483.46 12.0
97 3000 2471.69 13.0
97 3200 2521.54 14.0
97 3500 2462.22 16.0
97 3700 2518.36 16.0
97 4000 2435.0 18.0
97 4500 2445.74 20.0
97 5000 2349.11 25.0
97 6000 2395.44 27.0
97 7000 2419.62 30.0
97 8000 2391.46 41.0
97 9000 2372.7 50.0
97 10000 2386.96 47.0
97 12000 2391.65 56.0
97 15000 2388.11 72.0
97 20000 2370.68 92.0
97 25000 2372.32 121.0
97 50000 2347.68 368.0
97 100000 2356.15 515.0
153 100 3189.93 0.0
153 500 2967.27 2.0
153 800 2951.46 27.0
153 1000 2862.55 21.0
153 1200 2734.42 18.0
153 1500 2712.71 20.0
153 1700 2633.5 30.0
153 2000 2606.34 29.0
153 2200 2572.85 31.0
153 2500 2495.9 37.0
153 2700 2401.01 47.0
153 3000 2468.72 54.0
153 3200 2445.93 47.0
153 3500 2406.79 62.0
153 3700 2392.11 58.0
153 4000 2405.37 75.0
153 4500 2391.87 96.0
153 5000 2383.04 88.0
153 6000 2363.72 111.0
153 7000 2381.49 121.0
153 8000 2363.02 135.0
153 9000 2344.48 177.0
153 10000 2334.39 226.0
153 12000 2339.46 252.0
153 15000 2351.32 296.0
153 20000 2321.25 459.0
153 25000 2314.5 595.0
153 50000 2320.54 1159.0
153 100000 2326.56 852.0
83 100 3539.38 0.0
83 500 2914.27 2.0
83 800 2724.75 4.0
83 1000 2835.42 5.0
83 1200 2653.06 6.0
83 1500 2617.34 7.0
83 1700 2564.33 8.0
83 2000 2513.42 9.0
83 2200 2464.8 10.0
83 2500 2419.87 11.0
83 2700 2405.5 12.0
83 3000 2343.54 14.0
83 3200 2376.29 15.0
83 3500 2343.53 17.0
83 3700 2290.12 18.0
83 4000 2313.27 18.0
83 4500 2306.41 20.0
83 5000 2284.79 22.0
83 6000 2298.62 27.0
83 7000 2283.67 32.0
83 8000 2252.15 38.0
83 9000 2259.56 43.0
83 10000 2267.4 48.0
83 12000 2238.89 61.0
83 15000 2241.83 74.0
83 20000 2220.94 108.0
83 25000 2215.55 131.0
83 50000 2226.32 263.0
83 100000 2216.59 547.0
81 100 3409.48 1.0
81 500 2849.42 2.0
81 800 2701.42 4.0
81 1000 2716.71 4.0
81 1200 2460.29 5.0
81 1500 2341.57 6.0
81 1700 2420.57 7.0
81 2000 2365.52 8.0
81 2200 2312.33 9.0
81 2500 2261.43 14.0
81 2700 2215.05 12.0
81 3000 2229.0 13.0
81 3200 2219.62 14.0
81 3500 2141.41 15.0
81 3700 2221.12 16.0
81 4000 2182.28 17.0
81 4500 2126.37 19.0
81 5000 2167.75 23.0
81 6000 2165.92 30.0
81 7000 2153.1 31.0
81 8000 2094.1 36.0
81 9000 2086.75 47.0
81 10000 2103.34 48.0
81 12000 2093.16 54.0
81 15000 2086.95 70.0
81 20000 2085.49 98.0
81 25000 2057.17 125.0
81 50000 2064.02 250.0
81 100000 2054.31 544.0
66 100 3279.19 1.0
66 500 2920.67 2.0
66 800 2767.56 4.0
66 1000 2734.5 5.0
66 1200 2725.56 6.0
66 1500 2556.69 7.0
66 1700 2613.45 8.0
66 2000 2528.19 9.0
66 2200 2418.01 10.0
66 2500 2498.76 12.0
66 2700 2457.53 13.0
66 3000 2403.21 16.0
66 3200 2424.8 16.0
66 3500 2370.25 17.0
66 3700 2359.21 18.0
66 4000 2416.78 20.0
66 4500 2397.62 20.0
66 5000 2358.87 25.0
66 6000 2353.26 29.0
66 7000 2336.38 33.0
66 8000 2341.23 39.0
66 9000 2302.0 45.0
66 10000 2303.09 50.0
66 12000 2322.59 57.0
66 15000 2299.06 73.0
66 20000 2283.12 102.0
66 25000 2272.75 139.0
66 50000 2287.92 264.0
66 100000 2263.19 558.0
14 100 3708.47 1.0
14 500 3021.5 2.0
14 800 2831.51 3.0
14 1000 2730.44 5.0
14 1200 2649.77 6.0
14 1500 2653.93 6.0
14 1700 2557.7 8.0
14 2000 2482.93 9.0
14 2200 2421.55 10.0
14 2500 2403.23 11.0
14 2700 2404.78 12.0
14 3000 2331.19 13.0
14 3200 2338.56 14.0
14 3500 2293.44 15.0
14 3700 2286.69 17.0
14 4000 2297.52 18.0
14 4500 2258.1 20.0
14 5000 2251.59 22.0
14 6000 2248.89 26.0
14 7000 2243.81 35.0
14 8000 2213.53 38.0
14 9000 2212.92 43.0
14 10000 2233.52 49.0
14 12000 2207.04 57.0
14 15000 2193.36 74.0
14 20000 2178.06 100.0
14 25000 2193.55 120.0
14 50000 2185.14 250.0
14 100000 2173.78 530.0
269 100 3419.63 0.0
269 500 2993.85 2.0
269 800 2802.96 3.0
269 1000 2592.53 5.0
269 1200 2590.14 6.0
269 1500 2489.66 6.0
269 1700 2417.66 7.0
269 2000 2302.35 9.0
269 2200 2322.78 9.0
269 2500 2255.14 11.0
269 2700 2252.05 11.0
269 3000 2240.99 12.0
269 3200 2165.95 13.0
269 3500 2219.49 16.0
269 3700 2178.02 16.0
269 4000 2194.57 17.0
269 4500 2169.46 21.0
269 5000 2163.8 22.0
269 6000 2158.54 26.0
269 7000 2121.91 32.0
269 8000 2139.89 37.0
269 9000 2113.82 45.0
269 10000 2088.58 50.0
269 12000 2128.07 55.0
269 15000 2079.51 70.0
269 20000 2082.34 92.0
269 25000 2101.54 116.0
269 50000 2071.18 267.0
269 100000 2061.73 508.0
211 100 3597.91 0.0
211 500 2907.64 2.0
211 800 2740.46 3.0
211 1000 2775.78 4.0
211 1200 2700.03 5.0
211 1500 2599.03 6.0
211 1700 2543.36 7.0
211 2000 2411.3 9.0
211 2200 2444.1 10.0
211 2500 2424.31 11.0
211 2700 2369.01 14.0
211 3000 2334.22 13.0
211 3200 2303.0 13.0
211 3500 2310.91 15.0
211 3700 2308.48 16.0
211 4000 2289.91 18.0
211 4500 2237.26 19.0
211 5000 2268.62 25.0
211 6000 2213.96 28.0
211 7000 2225.99 31.0
211 8000 2235.68 37.0
211 9000 2173.09 44.0
211 10000 2164.59 49.0
211 12000 2173.59 57.0
211 15000 2141.59 72.0
211 20000 2173.22 97.0
211 25000 2144.98 127.0
211 50000 2147.8 239.0
211 100000 2145.01 505.0
19 100 4116.78 0.0
19 500 3106.4 2.0
19 800 2859.14 3.0
19 1000 2879.41 4.0
19 1200 2753.02 5.0
19 1500 2681.32 6.0
19 1700 2576.61 6.0
19 2000 2584.53 8.0
19 2200 2611.77 9.0
19 2500 2514.7 10.0
19 2700 2461.38 11.0
19 3000 2429.89 13.0
19 3200 2421.25 13.0
19 3500 2446.26 14.0
19 3700 2439.04 14.0
19 4000 2365.25 17.0
19 4500 2407.94 19.0
19 5000 2392.87 21.0
19 6000 2340.99 24.0
19 7000 2345.31 32.0
19 8000 2345.96 39.0
19 9000 2358.85 37.0
19 10000 2300.18 42.0
19 12000 2285.99 55.0
19 15000 2326.63 66.0
19 20000 2265.55 91.0
19 25000 2273.7 129.0
19 50000 2288.96 253.0
19 100000 2277.73 513.0
