seed stiter value exec_time
127 1 2091.74 657.0
127 5 2072.64 559.0
127 10 2075.56 503.0
127 25 2074.53 300.0
127 50 2088.34 318.0
127 100 2095.48 271.0
127 150 2071.05 293.0
127 500 2084.53 274.0
127 1000 2062.78 331.0
127 1500 2094.21 301.0
151 1 2078.08 110.0
151 5 2117.25 72.0
151 10 2110.15 70.0
151 25 2121.43 80.0
151 50 2098.86 81.0
151 100 2091.92 71.0
151 150 2116.58 69.0
151 500 2109.45 95.0
151 1000 2124.23 105.0
151 1500 2118.67 103.0
324 1 2270.54 102.0
324 5 2262.94 86.0
324 10 2273.58 74.0
324 25 2285.1 71.0
324 50 2273.1 78.0
324 100 2320.36 71.0
324 150 2277.8 71.0
324 500 2284.3 79.0
324 1000 2302.15 68.0
324 1500 2278.4 75.0
263 1 2638.19 77.0
263 5 2667.96 77.0
263 10 2650.04 74.0
263 25 2636.66 73.0
263 50 2669.5 91.0
263 100 2683.06 107.0
263 150 2676.53 89.0
263 500 2656.32 74.0
263 1000 2644.46 75.0
263 1500 2651.53 71.0
57 1 1880.25 67.0
57 5 1859.86 69.0
57 10 1850.65 77.0
57 25 1863.09 71.0
57 50 1843.61 69.0
57 100 1842.05 78.0
57 150 1849.05 72.0
57 500 1861.93 66.0
57 1000 1879.42 68.0
57 1500 1872.77 66.0
381 1 2063.0 73.0
381 5 2038.32 70.0
381 10 2090.11 75.0
381 25 2062.38 72.0
381 50 2054.59 74.0
381 100 2067.88 75.0
381 150 2045.31 72.0
381 500 2070.91 72.0
381 1000 2046.3 70.0
381 1500 2044.1 72.0
118 1 2024.84 69.0
118 5 2012.34 67.0
118 10 2013.83 72.0
118 25 2006.11 77.0
118 50 2013.43 73.0
118 100 2019.64 66.0
118 150 2023.06 66.0
118 500 2009.28 71.0
118 1000 2005.75 69.0
118 1500 2011.21 73.0
371 1 2131.16 73.0
371 5 2135.72 75.0
371 10 2121.25 76.0
371 25 2117.32 76.0
371 50 2159.12 74.0
371 100 2138.68 73.0
371 150 2124.57 79.0
371 500 2133.74 79.0
371 1000 2118.17 78.0
371 1500 2127.99 77.0
222 1 2449.16 74.0
222 5 2492.73 75.0
222 10 2450.2 74.0
222 25 2434.56 74.0
222 50 2480.14 69.0
222 100 2446.96 72.0
222 150 2436.36 79.0
222 500 2448.72 73.0
222 1000 2431.12 72.0
222 1500 2425.6 75.0
314 1 2216.22 73.0
314 5 2236.1 70.0
314 10 2223.26 71.0
314 25 2211.07 74.0
314 50 2195.56 77.0
314 100 2221.95 75.0
314 150 2201.95 74.0
314 500 2219.82 75.0
314 1000 2229.35 71.0
314 1500 2187.56 78.0
