seed lambda	k value exec_time
144	0.001 1 2524.9633333333	626
144	0.001 5	2540.0233333333	397
144	0.001 10 2522.21 258
144	0.001 15 2506.82 94
144	1.00E-04 1 2512.8666666667 129
144	1.00E-04 5 2492.1033333333 91
144	1.00E-04 10	2524.2133333333 92
144	1.00E-04 15	2538.39	89
144	1.00E-05 1 2512.91 92
144	1.00E-05 5 2603.76 91
144	1.00E-05 10	2779.7633333333	90
144	1.00E-05 15	2989.63	100
126	0.001 1	2619.4966666667	89
126	0.001 5	2594.8566666667	90
126	0.001 10 2570.8933333333 112
126	0.001 15 2584.73 97
126	1.00E-04 1 2581.6666666667 85
126	1.00E-04 5 2562.8966666667 90
126	1.00E-04 10	2600.1033333333	89
126	1.00E-04 15	2616.6133333333	91
126	1.00E-05 1 2584.8266666667 86
126	1.00E-05 5 2688.1033333333 91
126	1.00E-05 10	2897.5833333333	91
126	1.00E-05 15	3095.48	94
3 0.001 1 2963.7033333333 93
3 0.001	5 2943.9433333333 93
3 0.001	10 2938.9033333333 97
3 0.001	15 2936.52 94
3 1.00E-04 1 2942.61 91
3 1.00E-04 5 2928.05 91
3 1.00E-04 10 2931.8033333333 94
3 1.00E-04 15 2979.0933333333 93
3 1.00E-05 1 2928.3866666667 92
3 1.00E-05 5 3032.8	93
3 1.00E-05 10 3247.94 94
3 1.00E-05 15 3388.7033333333 95
391	0.001 1	2169.7833333333	84
391	0.001 5	2183.9133333333	81
391	0.001 10 2176.62 83
391	0.001 15 2151.24 87
391	1.00E-04 1 2141.46 81
391	1.00E-04 5 2126.6766666667 81
391	1.00E-04 10	2154.35	84
391	1.00E-04 15	2192.6966666667	83
391	1.00E-05 1 2130.6566666667 81
391	1.00E-05 5 2287.15 80
391	1.00E-05 10	2487.55	82
391	1.00E-05 15	2654.9866666667	82
383	0.001 1 2940.5866666667	88
383	0.001 5	2940.2966666667	89
383	0.001 10 2941.9433333333 88
383	0.001 15 2931.01 90
383	1.00E-04 1 2903.8833333333 89
383	1.00E-04 5 2913.4533333333 87
383	1.00E-04 10	2926.08	91
383	1.00E-04 15	2972.7033333333	92
383	1.00E-05 1 2929.6687
383	1.00E-05 5 3043.3266666667 91
383	1.00E-05 10	3252.8066666667	90
383	1.00E-05 15	3364.2566666667	87
216	0.001 1 2873.0833333333	94
216	0.001 5	2882.2733333333	90
216	0.001 10 2889.26 93
216	0.001 15 2880.6033333333 91
216	1.00E-04 1 2863.17 92
216	1.00E-04 5 2853.86 90
216	1.00E-04 10 2869.9633333333	92
216	1.00E-04 15	2923.13	91
216	1.00E-05 1 2858.42 90
216	1.00E-05 5 2962.77 89
216	1.00E-05 10	3180.0133333333	97
216	1.00E-05 15	3365.5233333333	91
83 0.001 1 2518.47 97
83 0.001 5 2522.5566666667 91
83 0.001 10	2514.6233333333	95
83 0.001 15	2533.85	94
83 1.00E-04	1 2499.7 92
83 1.00E-04	5 2499.5866666667 93
83 1.00E-04	10 2524.7866666667 93
83 1.00E-04	15 2580.9033333333 97
83 1.00E-05	1 2511.4633333333 90
83 1.00E-05	5 2610.5566666667 93
83 1.00E-05	10 2808.1 92
83 1.00E-05	15 2991.6566666667 96
7 0.001	1 2506.7733333333 88
7 0.001	5 2510.9366666667 89
7 0.001	10 2519.6333333333 90
7 0.001	15 2511.3466666667 88
7 1.00E-04 1 2512.2133333333 88
7 1.00E-04 5 2490.5566666667 88
7 1.00E-04 10 2528.0133333333 86
7 1.00E-04 15 2545.4966666667 89
7 1.00E-05 1 2494.24 86
7 1.00E-05 5 2621.1633333333 88
7 1.00E-05 10 2798.6866666667 87
7 1.00E-05 15 2982.9 92
286	0.001 1	2626.6733333333	88
286	0.001 5	2606.6 91
286	0.001 10 2602.18 88
286	0.001 15 2597.3066666667 91
286	1.00E-04 1 2587.73 87
286	1.00E-04 5 2574.6 88
286	1.00E-04 10 2600.7566666667	87
286	1.00E-04 15 2628.3166666667	89
286	1.00E-05 1 2611.6366666667 87
286	1.00E-05 5 2698.4133333333 87
286	1.00E-05 10 2888.62	89
286	1.00E-05 15 3082.04	87
69 0.001 1 2530.0233333333 89
69 0.001 5 2492.15 88
69 0.001 10	2524.55	88
69 0.001 15	2508.0633333333	87
69 1.00E-04	1 2500.1833333333 83
69 1.00E-04	5 2488.4333333333 87
69 1.00E-04	10 2513.35 85
69 1.00E-04	15 2547.82 91
69 1.00E-05	1 2501.7 84
69 1.00E-05	5 2628.06 88
69 1.00E-05	10 2822.7366666667 87
69 1.00E-05	15 3043.5433333333 99
