seed steps costSA costHC exec_timeSA exec_timeHC
282 5000 2891.3799999999997 2763.1999999999994 157.0 3925.0
282 10000 2755.0733333333333 2763.1999999999994 83.0 3350.0
282 20000 2715.0433333333335 2763.1999999999994 99.0 3120.0
282 30000 2733.4666666666667 2763.1999999999994 142.0 3159.0
254 5000 2541.76 2411.94 22.0 3380.0
254 10000 2397.4966666666664 2411.94 44.0 3370.0
254 20000 2378.8433333333337 2411.94 93.0 3368.0
254 30000 2389.28 2411.94 136.0 3390.0
49 5000 2605.1233333333334 2463.68 22.0 3221.0
49 10000 2521.153333333333 2463.68 44.0 3406.0
49 20000 2467.3133333333335 2463.68 89.0 3244.0
49 30000 2464.8799999999997 2463.68 139.0 3217.0
17 5000 2830.8333333333335 2788.75 23.0 3001.0
17 10000 2783.846666666667 2788.75 48.0 2980.0
17 20000 2763.0633333333335 2788.75 95.0 3028.0
17 30000 2738.8566666666666 2788.75 145.0 3035.0
193 5000 2638.6766666666667 2563.52 20.0 3072.0
193 10000 2565.3399999999997 2563.52 43.0 3086.0
193 20000 2561.0333333333333 2563.52 86.0 3041.0
193 30000 2531.266666666667 2563.52 132.0 3046.0
231 5000 2646.6366666666668 2626.91 23.0 3000.0
231 10000 2604.4566666666665 2626.91 43.0 2907.0
231 20000 2586.02 2626.91 88.0 2897.0
231 30000 2599.9466666666667 2626.91 134.0 2864.0
60 5000 2396.9166666666665 2252.27 21.0 3572.0
60 10000 2274.293333333333 2252.27 43.0 3574.0
60 20000 2247.6299999999997 2252.27 91.0 3519.0
60 30000 2240.726666666667 2252.27 134.0 3523.0
390 5000 2785.75 2668.62 24.0 2939.0
390 10000 2692.7100000000005 2668.62 46.0 2939.0
390 20000 2671.986666666666 2668.62 93.0 3026.0
390 30000 2663.096666666667 2668.62 141.0 2938.0
53 5000 2545.0699999999997 2465.18 24.0 3290.0
53 10000 2474.233333333333 2465.18 43.0 3361.0
53 20000 2446.0266666666666 2465.18 89.0 3353.0
53 30000 2450.0366666666664 2465.18 137.0 3621.0
206 5000 2648.853333333333 2582.07 22.0 3102.0
206 10000 2568.7466666666664 2582.07 47.0 3148.0
206 20000 2540.0266666666666 2582.07 94.0 3218.0
206 30000 2540.7566666666667 2582.07 142.0 3145.0
