seed steps costSA costHC exec_timeSA exec_timeHC
25 10000 2797.286666666667 2772.78 260.0 4169.0
25 20000 2762.0433333333335 2772.78 95.0 3259.0
25 30000 2747.806666666667 2772.78 144.0 3310.0
25 40000 2774.2333333333336 2772.78 184.0 3262.0
25 50000 2762.6299999999997 2772.78 233.0 3331.0
25 60000 2760.0500000000006 2772.78 283.0 3518.0
25 70000 2756.2899999999995 2772.78 324.0 3338.0
25 80000 2770.4466666666667 2772.78 373.0 3293.0
25 90000 2747.3866666666668 2772.78 415.0 3275.0
25 100000 2746.92 2772.78 461.0 3278.0
225 10000 2304.89 2263.04 45.0 3548.0
225 20000 2262.02 2263.04 91.0 3584.0
225 30000 2273.1133333333332 2263.04 138.0 3709.0
225 40000 2257.853333333333 2263.04 183.0 3532.0
225 50000 2264.206666666667 2263.04 226.0 3556.0
225 60000 2269.1833333333334 2263.04 280.0 3572.0
225 70000 2249.0666666666666 2263.04 317.0 3659.0
225 80000 2262.78 2263.04 371.0 3596.0
225 90000 2262.313333333333 2263.04 420.0 3582.0
225 100000 2270.5333333333333 2263.04 451.0 3569.0
301 10000 2628.1766666666667 2647.8 44.0 3147.0
301 20000 2594.2099999999996 2647.8 90.0 3128.0
301 30000 2619.2000000000003 2647.8 135.0 3395.0
301 40000 2600.3199999999997 2647.8 184.0 3136.0
301 50000 2605.603333333333 2647.8 224.0 3197.0
301 60000 2612.9166666666665 2647.8 280.0 3271.0
301 70000 2593.8033333333333 2647.8 323.0 3136.0
301 80000 2622.68 2647.8 362.0 3205.0
301 90000 2610.18 2647.8 424.0 3177.0
301 100000 2603.36 2647.8 459.0 3189.0
232 10000 2692.816666666667 2673.48 45.0 3304.0
232 20000 2672.69 2673.48 97.0 3258.0
232 30000 2665.2100000000005 2673.48 146.0 3417.0
232 40000 2667.85 2673.48 194.0 3367.0
232 50000 2672.7266666666665 2673.48 240.0 3404.0
232 60000 2664.1666666666665 2673.48 291.0 3307.0
232 70000 2657.6733333333336 2673.48 351.0 3413.0
232 80000 2685.99 2673.48 383.0 3299.0
232 90000 2655.9666666666667 2673.48 436.0 3262.0
232 100000 2666.6200000000003 2673.48 478.0 3327.0
286 10000 2640.8633333333332 2626.25 45.0 3276.0
286 20000 2621.013333333333 2626.25 90.0 3269.0
286 30000 2599.58 2626.25 138.0 3255.0
286 40000 2619.98 2626.25 187.0 3270.0
286 50000 2615.6 2626.25 230.0 3263.0
286 60000 2611.773333333333 2626.25 287.0 3329.0
286 70000 2601.273333333333 2626.25 330.0 3454.0
286 80000 2606.8433333333332 2626.25 385.0 3262.0
286 90000 2617.2400000000002 2626.25 424.0 3260.0
286 100000 2611.3533333333335 2626.25 472.0 3317.0
262 10000 2718.5833333333335 2622.13 45.0 3197.0
262 20000 2643.23 2622.13 92.0 3181.0
262 30000 2649.5866666666666 2622.13 141.0 3159.0
262 40000 2660.56 2622.13 186.0 3213.0
262 50000 2627.1866666666665 2622.13 233.0 3270.0
262 60000 2664.153333333333 2622.13 278.0 3260.0
262 70000 2656.566666666667 2622.13 333.0 3205.0
262 80000 2638.8633333333332 2622.13 376.0 3219.0
262 90000 2656.7833333333333 2622.13 424.0 3128.0
262 100000 2641.94 2622.13 470.0 3142.0
261 10000 2535.3700000000003 2490.47 45.0 3283.0
261 20000 2495.306666666667 2490.47 94.0 3243.0
261 30000 2474.3233333333333 2490.47 145.0 3282.0
261 40000 2485.103333333333 2490.47 189.0 3257.0
261 50000 2476.146666666667 2490.47 237.0 3314.0
261 60000 2495.0800000000004 2490.47 277.0 3279.0
261 70000 2498.1633333333334 2490.47 337.0 3294.0
261 80000 2489.75 2490.47 375.0 3266.0
261 90000 2480.1133333333332 2490.47 429.0 3388.0
261 100000 2472.986666666667 2490.47 477.0 3273.0
95 10000 2666.1966666666667 2634.32 45.0 3306.0
95 20000 2642.703333333333 2634.32 94.0 3259.0
95 30000 2636.023333333333 2634.32 146.0 3281.0
95 40000 2652.8266666666664 2634.32 189.0 3267.0
95 50000 2615.73 2634.32 242.0 3329.0
95 60000 2647.6066666666666 2634.32 283.0 3318.0
95 70000 2635.35 2634.32 330.0 3322.0
95 80000 2621.15 2634.32 384.0 3299.0
95 90000 2656.81 2634.32 423.0 3412.0
95 100000 2649.1666666666665 2634.32 476.0 3257.0
228 10000 2566.38 2539.88 45.0 2988.0
228 20000 2521.68 2539.88 93.0 3013.0
228 30000 2519.64 2539.88 138.0 3000.0
228 40000 2536.5099999999998 2539.88 192.0 3001.0
228 50000 2510.786666666667 2539.88 234.0 3032.0
228 60000 2535.31 2539.88 279.0 3038.0
228 70000 2524.2933333333335 2539.88 327.0 3031.0
228 80000 2523.693333333333 2539.88 370.0 3028.0
228 90000 2516.513333333334 2539.88 427.0 2990.0
228 100000 2519.566666666667 2539.88 477.0 2986.0
127 10000 2547.61 2528.84 42.0 3344.0
127 20000 2481.693333333333 2528.84 92.0 3361.0
127 30000 2475.566666666667 2528.84 134.0 3518.0
127 40000 2485.17 2528.84 181.0 3289.0
127 50000 2503.44 2528.84 223.0 3337.0
127 60000 2464.733333333333 2528.84 275.0 3357.0
127 70000 2492.233333333333 2528.84 311.0 3345.0
127 80000 2484.5066666666667 2528.84 360.0 3355.0
127 90000 2488.8333333333335 2528.84 414.0 3368.0
127 100000 2480.02 2528.84 453.0 3374.0
