seed steps costSA costHC exec_timeSA exec_timeHC
266 5120 2977.5866666666666 2864.35 229.0 4024.0
266 10400 2852.903333333333 2864.35 54.0 3381.0
266 20000 2803.2400000000002 2864.35 99.0 3398.0
266 30400 2795.186666666667 2864.35 147.0 3233.0
266 40000 2788.683333333333 2864.35 212.0 3357.0
105 5120 2763.513333333334 2571.92 27.0 3735.0
105 10400 2603.9333333333334 2571.92 54.0 3275.0
105 20000 2523.103333333333 2571.92 92.0 3215.0
105 30400 2514.5533333333333 2571.92 142.0 3323.0
105 40000 2519.383333333333 2571.92 192.0 3325.0
15 5120 2658.443333333333 2449.66 21.0 3539.0
15 10400 2498.2166666666667 2449.66 45.0 3595.0
15 20000 2447.5033333333336 2449.66 88.0 3588.0
15 30400 2441.4 2449.66 140.0 3667.0
15 40000 2454.4533333333334 2449.66 176.0 3556.0
134 5120 2666.2599999999998 2517.65 23.0 3232.0
134 10400 2597.1233333333334 2517.65 46.0 3305.0
134 20000 2539.0333333333333 2517.65 90.0 3275.0
134 30400 2512.31 2517.65 138.0 3384.0
134 40000 2515.266666666667 2517.65 188.0 3253.0
321 5120 2548.9966666666664 2429.87 22.0 3940.0
321 10400 2441.8133333333335 2429.87 44.0 3888.0
321 20000 2396.316666666667 2429.87 94.0 3913.0
321 30400 2387.8633333333332 2429.87 133.0 3887.0
321 40000 2373.4166666666665 2429.87 186.0 4098.0
297 5120 2466.7533333333336 2284.28 23.0 3447.0
297 10400 2324.6200000000003 2284.28 46.0 3421.0
297 20000 2276.263333333333 2284.28 90.0 3452.0
297 30400 2260.47 2284.28 137.0 3494.0
297 40000 2271.67 2284.28 186.0 3480.0
195 5120 2766.6800000000003 2541.78 21.0 3108.0
195 10400 2574.9900000000002 2541.78 46.0 3101.0
195 20000 2529.03 2541.78 88.0 3172.0
195 30400 2521.6233333333334 2541.78 135.0 3229.0
195 40000 2510.2966666666666 2541.78 184.0 3123.0
385 5120 2690.4133333333334 2507.8 21.0 3673.0
385 10400 2548.133333333333 2507.8 44.0 3627.0
385 20000 2473.16 2507.8 90.0 3687.0
385 30400 2460.83 2507.8 137.0 3816.0
385 40000 2458.1 2507.8 183.0 3739.0
189 5120 2414.7233333333334 2220.0 23.0 3722.0
189 10400 2293.0733333333333 2220.0 43.0 3741.0
189 20000 2215.2000000000003 2220.0 94.0 3739.0
189 30400 2197.116666666667 2220.0 135.0 3780.0
189 40000 2198.543333333333 2220.0 173.0 3809.0
291 5120 2803.0866666666666 2707.46 24.0 3082.0
291 10400 2716.04 2707.46 49.0 3142.0
291 20000 2688.7833333333333 2707.46 94.0 3282.0
291 30400 2673.0499999999997 2707.46 146.0 3313.0
291 40000 2677.9166666666665 2707.46 206.0 3304.0
