seed stiter value exec_time
184 50 2256.57 633.0
184 80 2238.8433333333337 112.0
184 100 2241.1266666666666 103.0
184 125 2252.5866666666666 86.0
184 160 2230.773333333333 120.0
184 200 2248.263333333334 101.0
184 250 2245.3233333333333 92.0
184 400 2230.8133333333335 89.0
184 500 2237.7666666666664 94.0
184 625 2232.67 104.0
184 800 2243.98 85.0
184 1000 2242.5466666666666 89.0
184 1250 2245.8866666666668 87.0
150 50 2157.43 82.0
150 80 2166.2833333333333 83.0
150 100 2154.8266666666664 82.0
150 125 2157.56 82.0
150 160 2168.5 82.0
150 200 2146.65 87.0
150 250 2147.6266666666666 83.0
150 400 2143.4833333333336 84.0
150 500 2144.623333333333 82.0
150 625 2156.26 83.0
150 800 2161.0266666666666 82.0
150 1000 2179.14 83.0
150 1250 2163.6433333333334 81.0
322 50 2439.9599999999996 87.0
322 80 2432.9366666666665 83.0
322 100 2427.7433333333333 85.0
322 125 2437.67 83.0
322 160 2414.6066666666666 87.0
322 200 2419.726666666667 85.0
322 250 2439.326666666667 82.0
322 400 2424.3800000000006 86.0
322 500 2419.01 86.0
322 625 2435.5466666666666 90.0
322 800 2433.076666666667 95.0
322 1000 2427.673333333333 92.0
322 1250 2441.7466666666664 85.0
324 50 2527.2133333333336 90.0
324 80 2544.846666666667 87.0
324 100 2534.2999999999997 90.0
324 125 2540.2099999999996 90.0
324 160 2542.0266666666666 89.0
324 200 2545.1066666666666 88.0
324 250 2531.6266666666666 93.0
324 400 2535.4066666666663 89.0
324 500 2564.766666666667 89.0
324 625 2539.266666666667 89.0
324 800 2530.44 88.0
324 1000 2541.793333333333 90.0
324 1250 2539.2599999999998 89.0
186 50 2351.5666666666666 89.0
186 80 2343.97 91.0
186 100 2351.226666666667 87.0
186 125 2337.7066666666665 92.0
186 160 2316.556666666667 90.0
186 200 2331.1666666666665 88.0
186 250 2334.0133333333333 88.0
186 400 2349.806666666667 89.0
186 500 2344.6066666666666 87.0
186 625 2338.693333333333 91.0
186 800 2347.89 88.0
186 1000 2338.8199999999997 88.0
186 1250 2342.2566666666667 88.0
71 50 2625.656666666667 90.0
71 80 2643.8566666666666 91.0
71 100 2638.853333333333 92.0
71 125 2626.22 88.0
71 160 2627.7333333333336 91.0
71 200 2625.3833333333337 89.0
71 250 2637.4 90.0
71 400 2626.3700000000003 90.0
71 500 2622.31 91.0
71 625 2639.81 91.0
71 800 2620.69 89.0
71 1000 2638.6 88.0
71 1250 2629.6 91.0
62 50 2213.9566666666665 84.0
62 80 2196.26 85.0
62 100 2204.603333333333 85.0
62 125 2214.7766666666666 84.0
62 160 2201.0366666666664 86.0
62 200 2199.0 88.0
62 250 2203.02 88.0
62 400 2209.153333333333 87.0
62 500 2216.78 84.0
62 625 2193.7766666666666 86.0
62 800 2194.806666666667 86.0
62 1000 2213.1633333333334 83.0
62 1250 2197.6966666666667 84.0
54 50 2608.8133333333335 88.0
54 80 2618.19 90.0
54 100 2607.8933333333334 88.0
54 125 2608.2533333333336 91.0
54 160 2612.166666666667 90.0
54 200 2607.52 87.0
54 250 2594.5266666666666 89.0
54 400 2614.1200000000003 89.0
54 500 2597.31 91.0
54 625 2623.153333333333 88.0
54 800 2604.44 88.0
54 1000 2610.9566666666665 93.0
54 1250 2604.2866666666664 94.0
189 50 2215.63 82.0
189 80 2215.8933333333334 86.0
189 100 2229.63 82.0
189 125 2211.73 85.0
189 160 2217.6299999999997 82.0
189 200 2226.99 84.0
189 250 2213.1633333333334 85.0
189 400 2216.866666666667 82.0
189 500 2211.9666666666667 84.0
189 625 2206.5066666666667 84.0
189 800 2237.2166666666667 83.0
189 1000 2211.6666666666665 85.0
189 1250 2213.9966666666664 85.0
0 50 2712.7933333333335 88.0
0 80 2697.2533333333336 89.0
0 100 2699.2466666666664 91.0
0 125 2701.08 91.0
0 160 2696.0433333333335 89.0
0 200 2703.29 90.0
0 250 2708.726666666667 90.0
0 400 2706.8333333333335 103.0
0 500 2712.0833333333335 94.0
0 625 2716.7466666666664 90.0
0 800 2700.8766666666666 87.0
0 1000 2710.5499999999997 91.0
0 1250 2697.9966666666664 89.0
