-4GB RAM
-OJO primera línea: optimización de JVM (JIT,...)

seed nCentros nGrupos costSA costHC exec_timeSA exec_timeHC
390 5 100 2658.8999999999996 2668.62 981.0 4225.0
87 5 100 2542.6133333333332 2630.88 142.0 3277.0
120 5 100 2291.08 2311.19 135.0 3182.0
80 5 100 2391.8333333333335 2444.53 143.0 3218.0
349 5 100 2757.9933333333333 2830.1299999999997 138.0 3041.0
316 5 100 2437.5466666666666 2488.86 137.0 3477.0
129 5 100 2457.433333333334 2515.19 174.0 3550.0
277 5 100 2283.9466666666667 2349.14 146.0 3571.0
363 5 100 2414.6566666666663 2451.42 172.0 3778.0
0 5 100 2695.1766666666667 2758.76 139.0 4084.0

seed nCentros nGrupos costSA costHC exec_timeSA exec_timeHC
12 10 200 4090.81 4092.84 1127.0 94620.0
78 10 200 4559.823333333333 4575.57 226.0 77135.0
354 10 200 4514.79 4510.44 218.0 81727.0
108 10 200 4923.02 4903.45 227.0 71927.0
318 10 200 4284.46 4296.12 267.0 82575.0
296 10 200 4446.6066666666675 4425.82 218.0 78606.0
35 10 200 4330.009999999999 4326.15 221.0 86652.0
34 10 200 4555.346666666667 4532.69 218.0 84305.0
223 10 200 4447.883333333334 4390.3 266.0 86568.0
197 10 200 4376.756666666667 4365.18 226.0 83813.0

Conclusión: SA es constante como era de esperar porque tiene un número de steps fijo, pero HC es exponencial.
