ESC 1

seed nCentros nGrupos value exec_time
375 5 100 2353.0 5133.0
375 5 150 3566.27 27485.0
375 5 250 5845.79 430430.0



ESC 2


seed nCentros nGrupos value exec_time
211 5 100 2686.77 5096.0
211 10 100 2188.19 4091.0
211 15 100 2039.69 4486.0
211 20 100 1958.74 4921.0
211 25 100 1880.12 5363.0
211 30 100 1818.48 6281.0
211 35 100 1790.46 6776.0
211 40 100 1771.0 7379.0
211 45 100 1725.51 7790.0
211 50 100 1696.49 8010.0
391 5 100 2208.42 3498.0
391 10 100 2013.09 4015.0
391 15 100 1905.42 4585.0
391 20 100 1851.36 4766.0
391 25 100 1803.73 5343.0
391 30 100 1745.73 6777.0
391 35 100 1727.56 6272.0
391 40 100 1683.0 6817.0
391 45 100 1648.9 7462.0
391 50 100 1628.3 7247.0
98 5 100 2650.6 2776.0
98 10 100 2306.16 3342.0
98 15 100 2252.2 3614.0
98 20 100 2095.05 4296.0
98 25 100 1989.87 5072.0
98 30 100 1912.36 4890.0
98 35 100 1869.8 5258.0
98 40 100 1825.55 5578.0
98 45 100 1742.02 6317.0
98 50 100 1728.68 6562.0
126 5 100 2607.09 3340.0
126 10 100 2409.67 4051.0
126 15 100 2266.01 4612.0
126 20 100 2194.92 4919.0
126 25 100 2075.61 5210.0
126 30 100 2016.55 6418.0
126 35 100 1972.36 6116.0
126 40 100 1920.74 6531.0
126 45 100 1859.9 7664.0
126 50 100 1830.57 8686.0
291 5 100 2707.46 2878.0
291 10 100 2511.47 3187.0
291 15 100 2347.64 3548.0
291 20 100 2292.69 3923.0
291 25 100 2186.16 4735.0
291 30 100 2122.93 4891.0
291 35 100 2073.98 5708.0
291 40 100 2032.96 6794.0
291 45 100 2017.4 6492.0
291 50 100 1951.56 6458.0
193 5 100 2563.52 3127.0
193 10 100 2173.26 3726.0
193 15 100 2075.06 4805.0
193 20 100 1906.16 5061.0
193 25 100 1867.89 5425.0
193 30 100 1821.37 5940.0
193 35 100 1751.19 6124.0
193 40 100 1667.29 6767.0
193 45 100 1636.88 7199.0
193 50 100 1631.69 7532.0
139 5 100 2586.21 3290.0
139 10 100 2361.49 3641.0
139 15 100 2309.35 4446.0
139 20 100 2229.85 4348.0
139 25 100 2141.13 4799.0
139 30 100 2050.76 5602.0
139 35 100 2022.16 6198.0
139 40 100 1966.86 6814.0
139 45 100 1903.61 6908.0
139 50 100 1854.24 7144.0
168 5 100 2641.25 3216.0
168 10 100 2295.41 3713.0
168 15 100 2202.62 3946.0
168 20 100 2139.84 4490.0
168 25 100 2087.35 4897.0
168 30 100 2051.06 5368.0
168 35 100 1985.85 5814.0
168 40 100 1888.64 6893.0
168 45 100 1867.37 7352.0
168 50 100 1830.37 7234.0
358 5 100 2724.74 3176.0
358 10 100 2564.08 3717.0
358 15 100 2370.76 4298.0
358 20 100 2221.13 4382.0
358 25 100 2134.47 4683.0
358 30 100 2102.06 5067.0
358 35 100 2022.96 5760.0
358 40 100 2013.78 6234.0
358 45 100 1957.65 7017.0
358 50 100 1929.37 7500.0
265 5 100 2787.02 2862.0
265 10 100 2414.95 3460.0
265 15 100 2225.4 4083.0
265 20 100 2174.8 4423.0
265 25 100 2094.08 4899.0
265 30 100 2038.68 5620.0
265 35 100 1997.31 6069.0
265 40 100 1946.58 7041.0
265 45 100 1892.95 7292.0
265 50 100 1874.54 8200.0
