seeds time1 time2 time3 exec1 exec2 exec3
91 2253.62 2283.38 2274.61 4037 3804 2309
204 2594.0 2615.11 2608.5 2981 3387 1995
164 2790.31 2777.17 2766.17 3000 3141 2073
218 2666.64 2650.52 2639.06 3068 3471 2612
324 2588.68 2554.57 2598.58 3341 3702 2112
1 2670.06 2644.12 2662.93 3207 3756 1951
76 2655.07 2692.92 2654.91 2780 2905 1940
136 2404.64 2437.6 2435.75 3292 3845 2280
318 2426.29 2442.7 2457.74 3225 3788 2364
72 2725.81 2704.23 2733.94 2587 2814 2072
199 2792.71 2802.92 2871.88 3210 3331 1630
195 2541.78 2568.9 2603.75 2822 3344 2187
34 2512.56 2528.33 2586.73 3343 3476 2592
186 2342.41 2386.17 2400.09 3153 3885 2072
306 2427.66 2439.59 2432.59 3500 3665 2599
242 2622.83 2565.6 2585.36 3064 3635 1931
173 2486.43 2482.51 2542.13 3213 3529 1978
357 2438.96 2416.63 2470.81 3079 3547 2095
157 2989.81 2941.41 2996.97 2859 2976 1953
287 2730.55 2710.91 2739.71 3338 3118 2102
253 2939.15 2948.59 2971.52 3207 3090 1689
148 2394.72 2403.21 2433.65 3274 3557 2054
76 2655.07 2692.92 2654.91 2874 2987 2004
221 2465.44 2506.34 2496.99 3031 3351 1865
245 2311.16 2323.85 2376.13 3095 3796 2066
397 2431.37 2408.39 2418.39 3074 3474 2390
55 2714.83 2652.17 2678.41 3432 3373 2136
100 2439.94 2438.42 2426.72 3166 3752 2184
254 2411.94 2388.29 2422.45 3353 3483 2139
52 2539.0 2522.44 2522.2 2942 3506 2160
