    seeds HillH1_1 HillH2_1 HillHT_1 HillExec1 SAH1_1 SAH2_1 SAHT_1 SAExec1 HillH1_Old HillExec_Old SAH1_Old SAExec_Old
    264 2547.13 440.4 3427.9300000000003 11154 2595.6766666666667 375.34666666666664 3346.37 811  2597.69 5228 2533.7033333333334 787
    229 2610.15 328.49 3267.13 7213 2598.353333333333 353.02333333333337 3304.3999999999996 418  2499.2 4296 2487.4733333333334 951
    174 2612.74 436.71 3486.16 7844 2641.266666666667 414.50333333333333 3470.2733333333335 232  2570.92 5078 2506.42 212
    301 2764.29 612.66 3989.6099999999997 7432 2701.693333333333 413.00666666666666 3527.7066666666665 246  2647.8 4634 2556.9533333333334 220
    198 2503.97 542.95 3589.87 7842 2573.8433333333337 399.3333333333333 3372.51 233  2502.36 5205 2412.193333333333 218
    105 2639.13 462.48 3564.09 7145 2672.0433333333335 429.26666666666665 3530.576666666667 243  2571.92 4257 2525.483333333333 233
    368 2604.15 499.46 3603.07 7663 2615.88 391.6666666666667 3399.2133333333336 242  2475.6 4459 2455.88 227
    315 2460.26 363.4 3187.0600000000004 7135 2523.06 372.7133333333333 3268.4866666666667 235  2456.89 4529 2419.84 227
    231 2622.14 500.06 3622.2599999999998 7336 2675.9133333333334 399.1166666666666 3474.1466666666665 233  2626.91 4292 2557.7200000000003 222
    323 2525.78 380.93 3287.6400000000003 7633 2520.0733333333333 392.92 3305.9133333333334 224  2448.55 5126 2373.353333333333 223
