    seeds HillH1_1 HillH2_1 HillHT_1 HillExec1 SAH1_1 SAH2_1 SAHT_1 SAExec1 HillH1_2 HillH2_2 HillHT_2 HillExec2 SAH1_2 SAH2_2 SAHT_2 SAExec2 HillH1_3 HillH2_3 HillHT_3 HillExec3 SAH1_3 SAH2_3 SAHT_3 SAExec3 HillH1_4 HillH2_4 HillHT_4 HillExec4 SAH1_4 SAH2_4 SAHT_4 SAExec4 HillH1_5 HillH2_5 HillHT_5 HillExec5 SAH1_5 SAH2_5 SAHT_5 SAExec5 HillH1_6 HillH2_6 HillHT_6 HillExec6 SAH1_6 SAH2_6 SAHT_6 SAExec6 HillH1_7 HillH2_7 HillHT_7 HillExec7 SAH1_7 SAH2_7 SAHT_7 SAExec7 HillH1_8 HillH2_8 HillHT_8 HillExec8 SAH1_8 SAH2_8 SAHT_8 SAExec8
    104 2360.89 355.12 3071.13 13152 2367.91 332.79 3033.49 878 2317.88 387.54 3480.5 8622 2356.9533333333334 328.54333333333335 3342.5833333333335 912 2318.67 827.32 2318.67 6721 2269.15 731.6366666666667 2269.15 420 2322.24 451.52 2773.7599999999998 7586 2318.6800000000003 365.5466666666667 2684.226666666667 236 2424.47 389.89 4763.8099999999995 10118 2374.67 329.53 4351.85 302 2342.31 393.07 5093.799999999999 10149 2383.0033333333336 306.9433333333333 4531.606666666667 249 2337.17 355.37 3758.65 9604 2384.4599999999996 322.6066666666666 3674.8866666666663 257 2369.24 369.75 4217.99 9902 2379.8933333333334 341.56 4087.6933333333336 247 
    313 2827.91 419.22 3666.35 8854 2846.6666666666665 385.19000000000005 3617.0466666666666 267 2842.66 425.49 4119.13 8763 2879.2900000000004 372.26666666666665 3996.09 265 2731.13 1315.67 2731.13 7304 2678.61 1361.8 2678.61 268 2812.43 763.65 3576.08 7994 2833.9666666666667 399.44666666666666 3233.4133333333334 251 2855.4 421.06 5381.76 9560 2901.126666666667 355.1266666666666 5031.886666666667 251 2920.26 404.91 5754.630000000001 10482 2879.9500000000003 347.4166666666667 5311.866666666667 260 2833.9 408.08 4466.22 8630 2876.656666666667 366.09 4341.016666666667 246 2810.28 482.21 5221.33 9569 2892.44 369.4866666666667 4739.873333333333 240 
    285 2677.76 362.46 3402.6800000000003 8976 2700.0933333333337 364.02 3428.1333333333337 251 2735.68 377.36 3867.7599999999998 8185 2693.1366666666668 364.90000000000003 3787.836666666667 247 2654.11 1136.06 2654.11 7263 2603.9666666666667 922.5433333333334 2603.9666666666667 271 2690.84 373.35 3064.19 8325 2681.0466666666666 371.75 3052.7966666666666 267 2740.96 352.39 4855.3 8885 2737.156666666667 349.52666666666664 4834.3166666666675 260 2795.46 336.29 5149.49 9230 2723.9733333333334 324.3666666666667 4994.54 246 2707.86 336.58 4054.1800000000003 8691 2721.9133333333334 334.93333333333334 4061.6466666666665 249 2720.52 370.64 4573.719999999999 9252 2735.226666666667 329.92 4384.826666666667 291 
    178 2755.24 431.75 3618.74 7899 2751.983333333333 390.56 3533.103333333333 252 2735.29 421.88 4000.93 8145 2755.056666666667 395.8300000000001 3942.546666666667 238 2691.22 1266.56 2691.22 7004 2637.0833333333335 985.1766666666667 2637.0833333333335 250 2713.87 574.97 3288.84 7894 2699.7166666666667 453.78333333333336 3153.5 254 2760.52 383.0 5058.52 8602 2774.08 407.35666666666674 5218.22 249 2763.87 356.77 5261.26 8902 2754.683333333334 394.0833333333333 5513.266666666666 241 2720.43 514.48 4778.35 7740 2737.236666666666 387.80999999999995 4288.476666666666 236 2740.84 380.46 4643.14 8536 2769.8866666666668 401.5466666666666 4777.62 240 
    346 2346.67 417.32 3181.31 9774 2392.4633333333336 436.9666666666667 3266.396666666667 264 2364.43 411.45 3598.7799999999997 9156 2390.99 413.27666666666664 3630.8199999999997 248 2335.87 567.72 2335.87 7390 2323.5933333333332 648.9699999999999 2323.5933333333332 245 2372.5 460.85 2833.35 8610 2366.9066666666668 427.6633333333334 2794.57 245 2399.72 423.13 4938.5 9291 2416.8266666666664 402.95666666666665 4834.566666666666 240 2391.84 399.07 5185.33 9281 2419.03 392.8966666666667 5169.306666666667 239 2382.66 409.33 4019.9799999999996 9462 2411.0400000000004 401.28333333333336 4016.173333333334 265 2376.83 414.0 4446.83 9087 2426.883333333333 413.82666666666665 4496.016666666666 236 
    87 2637.76 479.28 3596.32 8277 2688.28 408.4566666666667 3505.1933333333336 268 2687.02 478.4 4122.219999999999 8241 2715.4133333333334 386.3033333333333 3874.3233333333333 275 2630.88 1407.75 2630.88 6726 2540.693333333333 1127.3366666666668 2540.693333333333 283 2640.29 517.36 3157.65 8096 2679.11 431.4200000000001 3110.53 274 2727.11 444.68 5395.1900000000005 8567 2713.22 383.43333333333334 5013.82 268 2697.77 407.63 5551.18 9290 2725.71 381.5233333333333 5396.373333333333 271 2653.82 438.8 4409.02 8529 2706.23 381.46000000000004 4232.07 281 2701.01 371.43 4558.16 10329 2719.486666666666 371.42333333333335 4576.603333333333 270 
    178 2755.24 431.75 3618.74 8310 2755.7466666666664 402.71000000000004 3561.1666666666665 257 2735.29 421.88 4000.93 8428 2754.8266666666664 387.4666666666667 3917.2266666666665 261 2691.22 1266.56 2691.22 7288 2635.6566666666668 1089.3866666666665 2635.6566666666668 266 2713.87 574.97 3288.84 8248 2723.403333333333 428.15000000000003 3151.5533333333333 267 2760.52 383.0 5058.52 8983 2765.5533333333333 386.6333333333334 5085.3533333333335 275 2763.87 356.77 5261.26 9653 2772.4500000000003 371.29999999999995 5371.549999999999 273 2720.43 514.48 4778.35 8225 2766.35 392.74 4337.3099999999995 260 2740.84 380.46 4643.14 9070 2763.5733333333333 371.4766666666667 4620.956666666667 262 
    241 2274.37 393.72 3061.81 8867 2321.1299999999997 357.59999999999997 3036.3299999999995 256 2264.96 382.9 3413.66 8799 2322.2233333333334 341.31666666666666 3346.173333333333 257 2283.02 737.41 2283.02 7723 2241.14 650.25 2241.14 274 2313.45 392.52 2705.97 8482 2296.77 371.8333333333333 2668.6033333333335 259 2337.62 385.89 4652.96 8984 2340.35 322.94666666666666 4278.03 269 2338.54 370.7 4933.4400000000005 9329 2352.8799999999997 317.0566666666667 4572.276666666667 262 2310.49 387.74 3861.45 8647 2307.9300000000003 338.71666666666664 3662.796666666667 268 2357.34 387.95 4297.09 8872 2349.42 335.3066666666667 4025.9533333333334 267 
    371 2605.56 360.98 3327.52 9152 2596.65 324.0366666666667 3244.7233333333334 265 2564.17 384.37 3717.28 9332 2591.28 313.11 3530.61 269 2589.1 1035.87 2589.1 7692 2529.6833333333334 1069.3266666666668 2529.6833333333334 263 2610.71 343.87 2954.58 9071 2576.116666666667 353.26666666666665 2929.383333333333 257 2580.06 365.8 4774.860000000001 10050 2599.3866666666668 313.1333333333333 4478.1866666666665 264 2565.43 359.02 5078.57 10323 2610.6499999999996 315.24333333333334 4817.353333333333 269 2660.43 382.02 4188.51 9067 2613.713333333333 317.7866666666667 3884.8599999999997 268 2633.55 374.4 4505.55 9553 2599.89 317.25333333333333 4186.156666666667 268 
    106 2314.01 389.18 3092.3700000000003 9490 2327.44 321.31 2970.06 269 2369.04 402.67 3577.05 9042 2331.0366666666664 305.53999999999996 3247.6566666666663 263 2303.23 791.15 2303.23 8046 2244.9500000000003 682.1133333333332 2244.9500000000003 270 2307.11 423.0 2730.11 9662 2298.816666666666 364.18 2662.996666666666 258 2318.99 400.66 4722.95 8885 2358.1533333333336 296.5933333333333 4137.713333333333 258 2309.02 416.29 5223.05 9568 2339.48 298.26666666666665 4427.346666666666 262 2333.77 352.75 3744.77 9058 2336.2533333333336 285.14000000000004 3476.8133333333335 265 2333.4 362.95 4148.15 9742 2335.24 301.10999999999996 3840.7899999999995 258 
