    seeds HillH1_1 HillH2_1 HillHT_1 HillExec1 SAH1_1 SAH2_1 SAHT_1 SAExec1 HillH1_2 HillH2_2 HillHT_2 HillExec2 SAH1_2 SAH2_2 SAHT_2 SAExec2 HillH1_3 HillH2_3 HillHT_3 HillExec3 SAH1_3 SAH2_3 SAHT_3 SAExec3 HillH1_4 HillH2_4 HillHT_4 HillExec4 SAH1_4 SAH2_4 SAHT_4 SAExec4 HillH1_5 HillH2_5 HillHT_5 HillExec5 SAH1_5 SAH2_5 SAHT_5 SAExec5 HillH1_6 HillH2_6 HillHT_6 HillExec6 SAH1_6 SAH2_6 SAHT_6 SAExec6 HillH1_7 HillH2_7 HillHT_7 HillExec7 SAH1_7 SAH2_7 SAHT_7 SAExec7 HillH1_8 HillH2_8 HillHT_8 HillExec8 SAH1_8 SAH2_8 SAHT_8 SAExec8 HillH1_9 HillH2_9 HillHT_9 HillExec9 SAH1_9 SAH2_9 SAHT_9 SAExec9 HillH1_10 HillH2_10 HillHT_10 HillExec10 SAH1_10 SAH2_10 SAHT_10 SAExec10 HillH1_11 HillH2_11 HillHT_11 HillExec11 SAH1_11 SAH2_11 SAHT_11 SAExec11 HillH1_12 HillH2_12 HillHT_12 HillExec12 SAH1_12 SAH2_12 SAHT_12 SAExec12 HillH1_13 HillH2_13 HillHT_13 HillExec13 SAH1_13 SAH2_13 SAHT_13 SAExec13 HillH1_14 HillH2_14 HillHT_14 HillExec14 SAH1_14 SAH2_14 SAHT_14 SAExec14 HillH1_15 HillH2_15 HillHT_15 HillExec15 SAH1_15 SAH2_15 SAHT_15 SAExec15 HillH1_16 HillH2_16 HillHT_16 HillExec16 SAH1_16 SAH2_16 SAHT_16 SAExec16
    195 0.0 0.0 0.0 0 2666.0666666666666 407.6433333333334 3481.3533333333335 955 0.0 0.0 0.0 0 2696.5433333333335 388.40000000000003 3861.743333333334 397 0.0 0.0 0.0 0 2521.2166666666667 1017.6833333333333 2521.2166666666667 754 0.0 0.0 0.0 0 2675.6666666666665 442.73 3118.3966666666665 1131 0.0 0.0 0.0 0 2709.2033333333334 378.8733333333333 4982.443333333333 286 0.0 0.0 0.0 0 2723.61 367.51666666666665 5296.226666666667 299 0.0 0.0 0.0 0 2687.22 393.03999999999996 4259.379999999999 316 0.0 0.0 0.0 0 2682.24 394.83666666666664 4656.423333333333 292 0.0 0.0 0.0 0 2723.9500000000003 373.24 6456.35 275 0.0 0.0 0.0 0 2678.2066666666665 368.82666666666665 6735.299999999999 309 0.0 0.0 0.0 0 2692.4933333333333 373.25 5678.493333333334 296 0.0 0.0 0.0 0 2722.24 375.1066666666666 6098.199999999999 287 0.0 0.0 0.0 0 2738.7933333333335 372.2133333333333 7949.780000000001 287 0.0 0.0 0.0 0 2757.52 365.27333333333337 8236.62 303 0.0 0.0 0.0 0 2702.17 371.05 7154.77 277 0.0 0.0 0.0 0 2706.4933333333333 371.34666666666664 7534.0 268 
    379 0.0 0.0 0.0 0 2691.8633333333332 423.37999999999994 3538.623333333333 273 0.0 0.0 0.0 0 2698.5333333333333 408.22 3923.1933333333336 321 0.0 0.0 0.0 0 2510.07 1182.6333333333334 2510.07 301 0.0 0.0 0.0 0 2620.19 444.0566666666667 3064.246666666667 311 0.0 0.0 0.0 0 2707.063333333333 399.4533333333334 5103.783333333333 315 0.0 0.0 0.0 0 2695.6 409.41 5561.47 286 0.0 0.0 0.0 0 2687.313333333333 388.7166666666667 4242.18 295 0.0 0.0 0.0 0 2691.9733333333334 411.26 4748.2733333333335 291 0.0 0.0 0.0 0 2706.1966666666663 401.46000000000004 6720.796666666667 283 0.0 0.0 0.0 0 2720.2033333333334 392.1433333333334 7033.780000000001 291 0.0 0.0 0.0 0 2712.3133333333335 384.10999999999996 5785.193333333333 298 0.0 0.0 0.0 0 2714.7833333333333 394.8 6267.983333333334 289 0.0 0.0 0.0 0 2714.8233333333333 398.00333333333333 8286.87 319 0.0 0.0 0.0 0 2699.4666666666667 385.26 8478.366666666667 281 0.0 0.0 0.0 0 2744.883333333333 389.4066666666667 7417.763333333333 265 0.0 0.0 0.0 0 2719.2533333333336 388.9466666666667 7775.560000000001 290 
    394 0.0 0.0 0.0 0 2540.8399999999997 364.16333333333336 3269.1666666666665 287 0.0 0.0 0.0 0 2558.55 356.84 3629.07 285 0.0 0.0 0.0 0 2441.5433333333335 815.39 2441.5433333333335 309 0.0 0.0 0.0 0 2515.65 376.74666666666667 2892.3966666666665 317 0.0 0.0 0.0 0 2554.2599999999998 335.7233333333333 4568.599999999999 286 0.0 0.0 0.0 0 2555.1000000000004 337.0 4914.1 283 0.0 0.0 0.0 0 2561.13 355.2366666666667 3982.076666666667 301 0.0 0.0 0.0 0 2538.68 344.01 4258.73 304 0.0 0.0 0.0 0 2581.693333333333 332.08333333333337 5902.526666666667 287 0.0 0.0 0.0 0 2574.266666666667 337.8233333333333 6290.323333333334 281 0.0 0.0 0.0 0 2557.6333333333337 344.00333333333333 5309.66 297 0.0 0.0 0.0 0 2569.0633333333335 341.34999999999997 5641.213333333333 288 0.0 0.0 0.0 0 2577.2400000000002 326.6 7149.640000000001 281 0.0 0.0 0.0 0 2581.3566666666666 339.28666666666663 7670.656666666666 276 0.0 0.0 0.0 0 2579.4599999999996 349.8933333333334 6778.18 295 0.0 0.0 0.0 0 2570.56 336.1933333333333 6941.073333333334 281 
    213 0.0 0.0 0.0 0 2498.693333333333 374.15333333333336 3247.0 272 0.0 0.0 0.0 0 2504.6300000000006 343.0666666666666 3533.8300000000004 286 0.0 0.0 0.0 0 2435.9 708.6633333333333 2435.9 313 0.0 0.0 0.0 0 2484.066666666667 382.8566666666666 2866.9233333333336 292 0.0 0.0 0.0 0 2540.4666666666667 333.8633333333333 4543.6466666666665 299 0.0 0.0 0.0 0 2535.3033333333333 323.94666666666666 4802.93 299 0.0 0.0 0.0 0 2505.383333333333 335.96000000000004 3849.2233333333334 299 0.0 0.0 0.0 0 2527.1866666666665 340.60333333333335 4230.203333333333 298 0.0 0.0 0.0 0 2529.7066666666665 314.16333333333336 5671.34 285 0.0 0.0 0.0 0 2563.3766666666666 301.2166666666667 5876.76 281 0.0 0.0 0.0 0 2547.0533333333333 314.34000000000003 5061.7733333333335 289 0.0 0.0 0.0 0 2529.48 317.8833333333333 5390.43 288 0.0 0.0 0.0 0 2532.7666666666664 334.19 7211.426666666666 281 0.0 0.0 0.0 0 2548.2066666666665 316.57666666666665 7296.856666666667 288 0.0 0.0 0.0 0 2526.5333333333333 324.6066666666666 6421.8133333333335 299 0.0 0.0 0.0 0 2547.103333333333 310.86333333333334 6588.326666666666 303 
    109 0.0 0.0 0.0 0 2629.7133333333336 368.6766666666667 3367.066666666667 276 0.0 0.0 0.0 0 2633.02 353.87000000000006 3694.63 276 0.0 0.0 0.0 0 2544.0466666666666 916.8933333333333 2544.0466666666666 279 0.0 0.0 0.0 0 2608.1633333333334 396.64000000000004 3004.8033333333333 282 0.0 0.0 0.0 0 2660.5 328.87333333333333 4633.74 273 0.0 0.0 0.0 0 2672.5833333333335 321.46666666666664 4922.85 275 0.0 0.0 0.0 0 2647.72 345.96333333333337 4031.5733333333333 280 0.0 0.0 0.0 0 2640.9466666666667 342.9066666666667 4355.4800000000005 269 0.0 0.0 0.0 0 2660.84 315.47333333333336 5815.573333333334 268 0.0 0.0 0.0 0 2663.846666666667 322.1666666666667 6207.68 281 0.0 0.0 0.0 0 2633.94 323.8333333333333 5224.606666666667 278 0.0 0.0 0.0 0 2690.0433333333335 324.7733333333333 5613.003333333334 274 0.0 0.0 0.0 0 2691.84 321.27666666666664 7189.713333333333 279 0.0 0.0 0.0 0 2665.816666666667 310.6366666666667 7325.366666666669 274 0.0 0.0 0.0 0 2689.56 324.99 6589.4400000000005 279 0.0 0.0 0.0 0 2663.056666666667 309.9666666666667 6692.623333333334 273 
    12 0.0 0.0 0.0 0 2137.6766666666667 329.84666666666664 2797.37 270 0.0 0.0 0.0 0 2150.013333333334 320.0 3110.013333333334 268 0.0 0.0 0.0 0 2079.0066666666667 523.72 2079.0066666666667 283 0.0 0.0 0.0 0 2108.016666666667 378.47666666666663 2486.4933333333333 272 0.0 0.0 0.0 0 2164.983333333333 313.29333333333335 4044.7433333333333 269 0.0 0.0 0.0 0 2174.6266666666666 317.2033333333333 4395.049999999999 277 0.0 0.0 0.0 0 2141.6866666666665 312.8233333333333 3392.9799999999996 293 0.0 0.0 0.0 0 2153.36 324.0466666666666 3773.5933333333332 263 0.0 0.0 0.0 0 2166.3866666666668 314.32 5309.586666666666 259 0.0 0.0 0.0 0 2182.52 305.36999999999995 5541.589999999999 261 0.0 0.0 0.0 0 2185.47 300.1333333333333 4586.536666666667 264 0.0 0.0 0.0 0 2153.846666666667 302.47666666666663 4876.136666666666 257 0.0 0.0 0.0 0 2187.83 314.59 6592.089999999999 284 0.0 0.0 0.0 0 2174.0833333333335 280.8 6386.083333333334 268 0.0 0.0 0.0 0 2168.47 311.00333333333333 5900.51 280 0.0 0.0 0.0 0 2154.7966666666666 302.52666666666664 6087.643333333333 267 
    90 0.0 0.0 0.0 0 2485.9933333333333 364.10999999999996 3214.213333333333 280 0.0 0.0 0.0 0 2447.6566666666668 347.2633333333333 3489.4466666666667 279 0.0 0.0 0.0 0 2352.9933333333333 747.8299999999999 2352.9933333333333 280 0.0 0.0 0.0 0 2424.8266666666673 358.3866666666666 2783.213333333334 274 0.0 0.0 0.0 0 2476.9633333333336 328.76666666666665 4449.5633333333335 268 0.0 0.0 0.0 0 2462.1166666666663 327.82666666666665 4756.903333333333 292 0.0 0.0 0.0 0 2486.32 341.4266666666667 3852.0266666666666 272 0.0 0.0 0.0 0 2483.1866666666665 358.24333333333334 4274.403333333334 277 0.0 0.0 0.0 0 2476.1266666666666 326.5933333333333 5742.0599999999995 278 0.0 0.0 0.0 0 2458.6133333333332 352.62999999999994 6337.543333333333 280 0.0 0.0 0.0 0 2497.2066666666665 345.8066666666666 5263.66 293 0.0 0.0 0.0 0 2496.8333333333335 342.72333333333336 5581.343333333334 269 0.0 0.0 0.0 0 2553.27 334.95666666666665 7242.663333333334 266 0.0 0.0 0.0 0 2463.2833333333333 326.62 7362.583333333334 314 0.0 0.0 0.0 0 2490.5099999999998 339.46 6564.029999999999 264 0.0 0.0 0.0 0 2487.1066666666666 329.16333333333336 6766.2300000000005 330 
    321 0.0 0.0 0.0 0 2463.2933333333335 385.42 3234.1333333333337 299 0.0 0.0 0.0 0 2446.5066666666667 371.6966666666667 3561.596666666667 270 0.0 0.0 0.0 0 2385.43 712.8100000000001 2385.43 275 0.0 0.0 0.0 0 2439.78 409.1333333333334 2848.9133333333334 277 0.0 0.0 0.0 0 2476.2000000000003 360.8633333333334 4641.380000000001 271 0.0 0.0 0.0 0 2481.8399999999997 367.19 5052.17 270 0.0 0.0 0.0 0 2471.27 364.4433333333333 3929.043333333333 276 0.0 0.0 0.0 0 2499.056666666667 381.4633333333333 4406.373333333333 265 0.0 0.0 0.0 0 2470.07 360.68666666666667 6076.9366666666665 270 0.0 0.0 0.0 0 2508.1066666666666 359.61999999999995 6463.926666666666 289 0.0 0.0 0.0 0 2470.4533333333334 351.31666666666666 5280.986666666667 270 0.0 0.0 0.0 0 2500.7233333333334 348.5566666666667 5637.733333333334 281 0.0 0.0 0.0 0 2530.7066666666665 344.63000000000005 7355.526666666667 274 0.0 0.0 0.0 0 2504.1066666666666 344.0733333333333 7665.206666666666 279 0.0 0.0 0.0 0 2512.4366666666665 358.8733333333333 6818.916666666666 271 0.0 0.0 0.0 0 2459.2100000000005 349.81666666666666 7006.826666666668 274 
    240 0.0 0.0 0.0 0 2085.596666666667 334.10999999999996 2753.8166666666666 252 0.0 0.0 0.0 0 2113.713333333333 319.9066666666667 3073.4333333333334 252 0.0 0.0 0.0 0 2042.3633333333335 499.62000000000006 2042.3633333333335 253 0.0 0.0 0.0 0 2100.0 390.07666666666665 2490.076666666667 251 0.0 0.0 0.0 0 2118.41 312.63000000000005 3994.19 256 0.0 0.0 0.0 0 2127.736666666666 320.49666666666667 4371.213333333333 266 0.0 0.0 0.0 0 2122.8566666666666 333.1433333333334 3455.4300000000003 251 0.0 0.0 0.0 0 2106.123333333333 321.3533333333333 3712.8899999999994 251 0.0 0.0 0.0 0 2150.1566666666663 306.7633333333333 5217.789999999999 254 0.0 0.0 0.0 0 2132.32 325.1366666666667 5708.823333333334 252 0.0 0.0 0.0 0 2110.103333333333 314.97999999999996 4629.943333333333 248 0.0 0.0 0.0 0 2148.213333333333 329.32666666666665 5112.153333333334 265 0.0 0.0 0.0 0 2151.183333333334 315.80333333333334 6572.43 276 0.0 0.0 0.0 0 2158.2366666666667 309.0233333333333 6793.586666666666 260 0.0 0.0 0.0 0 2133.693333333333 321.82 5995.533333333333 262 0.0 0.0 0.0 0 2136.906666666667 303.8666666666666 6087.173333333333 265 
    77 0.0 0.0 0.0 0 2476.0499999999997 348.3933333333334 3172.8366666666666 262 0.0 0.0 0.0 0 2481.463333333333 342.85999999999996 3510.043333333333 282 0.0 0.0 0.0 0 2357.8366666666666 901.7533333333334 2357.8366666666666 306 0.0 0.0 0.0 0 2447.566666666667 363.3766666666667 2810.9433333333336 267 0.0 0.0 0.0 0 2488.33 336.13000000000005 4505.110000000001 275 0.0 0.0 0.0 0 2491.48 307.5233333333333 4644.143333333333 277 0.0 0.0 0.0 0 2483.08 326.2466666666666 3788.0666666666666 272 0.0 0.0 0.0 0 2512.9266666666667 309.96666666666664 4062.76 273 0.0 0.0 0.0 0 2502.353333333333 310.06 5602.953333333333 272 0.0 0.0 0.0 0 2505.713333333333 319.60333333333335 6021.35 273 0.0 0.0 0.0 0 2498.2799999999997 314.5733333333333 5014.866666666667 268 0.0 0.0 0.0 0 2500.9933333333333 307.7166666666667 5270.443333333334 278 0.0 0.0 0.0 0 2519.6766666666667 309.49333333333334 6852.583333333334 277 0.0 0.0 0.0 0 2506.39 301.5833333333333 7030.139999999999 293 0.0 0.0 0.0 0 2491.8533333333335 304.2733333333333 6143.133333333333 311 0.0 0.0 0.0 0 2522.0399999999995 311.7 6574.139999999999 288 
