    seeds HillH1_1 HillH2_1 HillHT_1 HillExec1 SAH1_1 SAH2_1 SAHT_1 SAExec1 HillH1_2 HillH2_2 HillHT_2 HillExec2 SAH1_2 SAH2_2 SAHT_2 SAExec2 HillH1_3 HillH2_3 HillHT_3 HillExec3 SAH1_3 SAH2_3 SAHT_3 SAExec3 HillH1_4 HillH2_4 HillHT_4 HillExec4 SAH1_4 SAH2_4 SAHT_4 SAExec4 HillH1_5 HillH2_5 HillHT_5 HillExec5 SAH1_5 SAH2_5 SAHT_5 SAExec5 HillH1_6 HillH2_6 HillHT_6 HillExec6 SAH1_6 SAH2_6 SAHT_6 SAExec6
    237 2430.62 374.18 3178.98 9389 2451.2433333333333 352.6933333333333 3156.63 836 2460.88 393.17 3640.3900000000003 9320 2458.27 346.2133333333333 3496.91 458 2409.25 983.13 2409.25 7361 2335.7599999999998 940.5600000000001 2335.7599999999998 289 2425.3 459.85 2885.15 8925 2421.78 372.99333333333334 2794.7733333333335 249 2446.89 373.49 4687.83 9915 2476.3866666666668 310.71666666666664 4340.6866666666665 245 2513.73 425.41 5491.6 9302 2476.31 316.52 4691.95 241 
    199 2813.44 629.59 4072.62 7978 2907.543333333333 410.18 3727.903333333333 258 2826.72 579.78 4566.0599999999995 8214 2914.0766666666664 395.31333333333333 4100.016666666666 261 2792.71 1020.78 2792.71 6704 2783.913333333334 939.0166666666668 2783.913333333334 272 2836.67 615.03 3451.7 8265 2899.15 441.81 3340.96 260 2895.47 414.12 5380.1900000000005 9257 2924.15 417.6466666666667 5430.030000000001 260 2854.4 614.86 7158.42 8563 2909.9166666666665 380.08666666666664 5570.523333333333 259 
    327 2436.17 301.06 3038.29 8357 2400.61 321.74333333333334 3044.096666666667 249 2434.7 327.17 3416.21 8664 2428.523333333333 302.9966666666666 3337.513333333333 249 2385.68 945.27 2385.68 6741 2306.736666666666 814.7333333333332 2306.736666666666 253 2397.08 425.6 2822.68 8295 2403.293333333333 342.7366666666667 2746.0299999999997 252 2442.97 297.61 4228.63 9051 2444.6833333333334 287.3833333333334 4168.983333333334 253 2453.0 314.23 4652.610000000001 8856 2474.19 283.58666666666664 4459.296666666667 251 
    293 2542.98 364.76 3272.5 8567 2530.7933333333335 353.1033333333333 3237.0 249 2550.18 384.06 3702.3599999999997 9322 2550.1 325.88666666666666 3527.7599999999998 249 2502.05 1043.78 2502.05 7930 2410.1866666666665 1103.7666666666667 2410.1866666666665 266 2484.12 405.46 2889.58 8166 2519.326666666667 369.06 2888.3866666666668 244 2569.42 372.48 4804.3 8206 2541.5266666666666 346.37000000000006 4619.746666666667 247 2545.02 323.87 4812.110000000001 10011 2555.3166666666666 327.4833333333333 4847.7 254 
    393 2881.75 664.79 4211.33 8067 2966.89 456.9266666666667 3880.7433333333333 264 2911.13 547.72 4554.29 8971 2992.7433333333333 440.4466666666667 4314.083333333334 263 2829.03 1357.17 2829.03 6835 2787.7233333333334 1219.43 2787.7233333333334 268 2904.08 661.5 3565.58 8049 2940.0266666666666 461.44 3401.4666666666667 263 2910.11 532.61 6105.77 8892 3005.623333333333 448.1766666666667 5694.6833333333325 259 2913.13 495.67 6382.82 9470 2990.1433333333334 439.6566666666667 6067.74 283 
    267 2612.57 496.71 3605.9900000000002 7891 2584.6633333333334 421.57 3427.8033333333333 254 2595.97 413.34 3835.99 8501 2633.8033333333333 419.8733333333333 3893.423333333333 254 2597.97 841.49 2597.97 7057 2518.0699999999997 734.5300000000001 2518.0699999999997 266 2618.47 468.69 3087.16 8204 2578.5933333333332 456.7633333333333 3035.3566666666666 245 2593.18 392.47 4948.0 8514 2631.6766666666667 383.6166666666666 4933.376666666667 255 2609.97 389.13 5333.879999999999 8569 2646.2100000000005 386.4266666666667 5351.196666666667 252 
    100 2452.55 480.47 3413.4900000000002 9032 2514.73 376.2633333333333 3267.2566666666667 249 2498.47 445.17 3833.9799999999996 8979 2524.6 368.50666666666666 3630.12 258 2439.94 991.53 2439.94 7071 2411.8633333333332 899.3166666666667 2411.8633333333332 250 2518.21 477.7 2995.91 8556 2501.66 399.2166666666667 2900.8766666666666 247 2505.83 377.2 4769.03 9967 2534.463333333333 350.24333333333334 4635.923333333333 252 2502.24 417.1 5421.9400000000005 9936 2549.1066666666666 370.74 5144.286666666667 254 
    297 2317.09 440.03 3197.15 8818 2362.633333333333 363.8666666666666 3090.3666666666663 253 2321.64 411.71 3556.7699999999995 8889 2375.5499999999997 364.2633333333333 3468.3399999999997 250 2284.28 662.07 2284.28 6711 2265.3233333333333 703.9000000000001 2265.3233333333333 253 2330.77 375.53 2706.3 8082 2351.846666666667 399.0733333333333 2750.92 253 2315.32 373.54 4556.56 8562 2413.3366666666666 341.1466666666667 4460.216666666667 252 2352.72 356.42 4847.66 9065 2397.6966666666667 321.89 4650.926666666666 250 
    294 2537.65 480.19 3498.03 8001 2617.8266666666664 346.2833333333333 3310.393333333333 262 2633.14 410.07 3863.35 7817 2666.773333333333 330.9 3659.473333333333 255 2583.51 727.83 2583.51 6766 2502.5533333333337 787.1766666666666 2502.5533333333337 269 2615.46 400.82 3016.28 7668 2641.2966666666666 360.0466666666666 3001.3433333333332 258 2642.94 344.24 4708.38 8672 2655.7766666666666 300.84 4460.816666666667 257 2578.58 453.88 5755.74 8985 2672.78 309.34999999999997 4838.23 261 
    267 2612.57 496.71 3605.9900000000002 7380 2577.7133333333336 428.51666666666665 3434.746666666667 248 2595.97 413.34 3835.99 8102 2609.5733333333333 411.3933333333334 3843.753333333333 249 2597.97 841.49 2597.97 6976 2524.7766666666666 809.92 2524.7766666666666 255 2618.47 468.69 3087.16 8079 2570.89 430.83666666666664 3001.7266666666665 261 2593.18 392.47 4948.0 8340 2627.0233333333335 395.56 5000.383333333333 260 2609.97 389.13 5333.879999999999 8600 2653.1733333333336 386.1266666666667 5356.060000000001 244 
